disease,drug
androgenetic alopecia,"finasteride, ketoconazole"
anemia,"epoetin alfa, multivitamin with iron, pyridoxine, oxymetholone, lenalidomide"
anemia associated with chronic renal failure,"ferrous sulfate, epoetin alfa, ferrous fumarate, darbepoetin alfa, ferrous gluconate, epoetin beta-methoxy polyethylene glycol"
anemia associated with iron deficiency,ferrous fumarate / folic acid
anemia prior to surgery,epoetin alfa
"anemia, chemotherapy induced","epoetin alfa, darbepoetin alfa"
"anemia, drug induced",epoetin alfa
"anemia, megaloblastic","folic acid, leucovorin"
"anemia, sickle cell","hydroxyurea, vitamin e, glutamine, crizanlizumab"
anesthesia,"propofol, lidocaine, fentanyl, lidocaine / prilocaine, ketamine, succinylcholine, glycopyrrolate, rocuronium, etomidate, vecuronium, hyoscyamine, cisatracurium"
anesthetic adjunct,"hydromorphone, fentanyl, atracurium, butorphanol, methohexital"
angina,"aspirin, nitroglycerin, metoprolol, amlodipine, isosorbide mononitrate, isosorbide dinitrate, enoxaparin, ranolazine, atenolol, carvedilol, amlodipine / atorvastatin"
angina pectoris prophylaxis,"isosorbide mononitrate, aspirin, metoprolol, nitroglycerin, diltiazem, bisoprolol, isosorbide dinitrate, nifedipine, atenolol"
angioblastoma,interferon alfa-2b
angiocardiography,iohexol
angioedema,danazol
angiostrongylosis,mebendazole
ankylosing spondylitis,"diclofenac, prednisone, naproxen, indomethacin, celecoxib, adalimumab, aspirin, etanercept, sulindac, infliximab"
anorexia,"cyproheptadine, megestrol, dronabinol, olanzapine"
anorexia nervosa,"olanzapine, cyproheptadine"
anorexia/feeding problems,fluvoxamine
anthrax,"ciprofloxacin, levofloxacin, doxycycline, moxifloxacin, penicillin g potassium, chloramphenicol, ofloxacin, anthrax immune globulin intravenous"
anthrax prophylaxis,"amoxicillin, levofloxacin, ciprofloxacin, doxycycline, moxifloxacin, anthrax vaccine adsorbed, ofloxacin"
anti nmda receptor encephalitis,immune globulin intravenous
anticholinergic syndrome,physostigmine
anticholinesterase overdose,pralidoxime
anticholinesterase poisoning,atropine
anticoagulation during pregnancy,heparin
antiphospholipid syndrome,"warfarin, aspirin, heparin"
antithrombin iii deficiency,"antithrombin iii, antithrombin (recombinant)"
anxiety,"clonazepam, alprazolam, lorazepam, buspirone, hydroxyzine, diazepam, escitalopram, gabapentin, propranolol, trazodone, bupropion, clonidine, venlafaxine, duloxetine, paroxetine, mirtazapine"
anxiety and stress,"sertraline, citalopram, fluoxetine, amitriptyline, venlafaxine, paroxetine, prazosin, fluvoxamine"
aortic aneurysm,metoprolol
aortic stenosis,propranolol
aortography,"iodixanol, iohexol"
"aphthous stomatitis, recurrent","colchicine, hydrocortisone"
aphthous ulcer,"triamcinolone, dexamethasone, benzocaine"
aplastic anemia,"filgrastim, sargramostim, lymphocyte immune globulin, anti-thy (equine), eltrombopag"
apnea of prematurity,"theophylline, caffeine"
appendectomy,piperacillin / tazobactam
appendicitis,piperacillin / tazobactam
arrhythmia,"amiodarone, verapamil, propranolol, dofetilide, lidocaine, mexiletine, disopyramide, phenytoin, quinidine, procainamide"
arsenic poisoning,dimercaprol
arteriosclerotic dementia,ergoloid mesylates
arthrography,iohexol
ascariasis,"albendazole, mebendazole, pyrantel, ivermectin, nitazoxanide"
ascites,"furosemide, hydrochlorothiazide / spironolactone, torsemide, amiloride, bumetanide, triamterene, ethacrynic acid"
aseptic necrosis,"ibuprofen, alendronate, diclofenac, aspirin, naproxen"
asperger syndrome,"risperidone, olanzapine, lisdexamfetamine"
"aspergillosis, aspergilloma","itraconazole, amphotericin b, amphotericin b lipid complex"
"aspergillosis, invasive","voriconazole, posaconazole, itraconazole, amphotericin b, caspofungin, amphotericin b liposomal, isavuconazonium, amphotericin b lipid complex"
aspiration pneumonia,"prednisone, clindamycin, amoxicillin / clavulanate, metronidazole, dexamethasone, lansoprazole, piperacillin / tazobactam, ampicillin / sulbactam, cefoxitin, cilastatin / imipenem"
asthma,"montelukast, prednisone, ipratropium, flunisolide, methylprednisolone, dexamethasone, formoterol / mometasone, triamcinolone, fluticasone / vilanterol, levalbuterol, ciclesonide"
"asthma, maintenance","albuterol, montelukast, fluticasone, fluticasone / salmeterol, budesonide, budesonide / formoterol, theophylline, beclomethasone"
"asthma, acute","albuterol, prednisolone, methylprednisolone, epinephrine, hydrocortisone, theophylline, dexamethasone, levalbuterol, terbutaline"
asystole,"epinephrine, vasopressin, sodium bicarbonate, calcium chloride"
atherosclerosis,rosuvastatin
atopic dermatitis,"triamcinolone, clobetasol, betamethasone, fluocinonide, hydrocortisone, tacrolimus, prednisone, mometasone, desonide, fluocinolone, desoximetasone, fluticasone, methylprednisolone, dexamethasone, azathioprine"
atrial fibrillation,"digoxin, metoprolol, diltiazem, flecainide, sotalol, carvedilol, propafenone, rivaroxaban, dronedarone, clonidine, propranolol"
atrial flutter,"diltiazem, flecainide, sotalol, propafenone, dronedarone, esmolol, ibutilide"
atrial tachycardia,"verapamil, adenosine"
atrophic urethritis,"estradiol, conjugated estrogens, estradiol / norethindrone"
atrophic vaginitis,"estradiol, conjugated estrogens"
auditory processing disorder,dexmethylphenidate
autism,"risperidone, aripiprazole, venlafaxine, ziprasidone, memantine, paliperidone, bumetanide"
autoimmune hemolytic anemia,prednisone
autoimmune hepatitis,"azathioprine, budesonide, mercaptopurine, mycophenolate mofetil"
autoimmune neutropenia,immune globulin intravenous
avian influenza,"oseltamivir, influenza virus vaccine, h5n1"
b cell lymphoma,tisagenlecleucel
b12 nutritional deficiency,cyanocobalamin
babesiosis,"clindamycin, atovaquone, azithromycin"
back pain,"tramadol, ibuprofen, acetaminophen / hydrocodone, naproxen, diclofenac, duloxetine, aspirin, nabumetone"
bacteremia,"ceftriaxone, ciprofloxacin, clindamycin, cefotaxime, metronidazole, vancomycin, amikacin, cefepime, ceftazidime, piperacillin / tazobactam, cilastatin / imipenem, gentamicin, linezolid"
bacterial endocarditis prevention (bacterial endocarditis prophylaxis),"amoxicillin, cephalexin, clarithromycin, clindamycin, azithromycin, erythromycin, ceftriaxone, vancomycin, cefadroxil, cefazolin, ampicillin, gentamicin"
bacterial infection,"amoxicillin, ciprofloxacin, clindamycin, doxycycline, cephalexin, metronidazole, ceftriaxone, levofloxacin, sulfamethoxazole / trimethoprim, azithromycin, amoxicillin / clavulanate, vancomycin, cefuroxime"
bacterial skin infection,"sulfamethoxazole / trimethoprim, bacitracin, bacitracin / neomycin / polymyxin b, benzalkonium chloride / lidocaine, bacitracin / polymyxin b, hydrocortisone / neomycin / polymyxin b, bacitracin / hydrocortisone / neomycin / polymyxin b, fluocinolone / neomycin, bacitracin / neomycin / polymyxin b / pramoxine, neomycin / polymyxin b / pramoxine"
bacterial vaginitis,"metronidazole, clindamycin, acetic acid, tinidazole, secnidazole"
balanoposthitis,"clotrimazole, metronidazole, miconazole"
balantidium coli,metronidazole
barium meal transit,sincalide
barium poisoning,magnesium sulfate
barrett's esophagus,"omeprazole, pantoprazole, esomeprazole, lansoprazole, rabeprazole, dexlansoprazole"
bartonellosis,"rifampin, doxycycline, azithromycin, minocycline, erythromycin"
bartter syndrome,indomethacin
basal cell carcinoma,"fluorouracil, imiquimod, vismodegib, sonidegib"
beef tapeworm infection (taenia saginata),"praziquantel, paromomycin"
behcet's disease,"colchicine, azathioprine, infliximab, adalimumab, etanercept, apremilast"
bejel,penicillin g benzathine
benign essential tremor,"propranolol, primidone, gabapentin, nadolol, metoprolol, zonisamide"
benign prostatic hyperplasia,"tamsulosin, finasteride, doxazosin, terazosin, alfuzosin, tadalafil, dutasteride, prazosin, silodosin, dutasteride / tamsulosin"
benzodiazepine overdose,flumazenil
benzodiazepine withdrawal,"clonazepam, clonidine"
beriberi,thiamine
berylliosis,"prednisone, triamcinolone, cortisone"
beta thalassemia,luspatercept
bile acid synthesis disorders,cholic acid
binge eating disorder,"fluoxetine, lisdexamfetamine"
bipolar disorder,"lamotrigine, lithium, quetiapine, gabapentin, clonazepam, divalproex sodium, bupropion, oxcarbazepine, risperidone, sertraline, aripiprazole, topiramate, olanzapine, venlafaxine"
birth control (contraception),"levonorgestrel, norethindrone, ethinyl estradiol / norgestimate, ethinyl estradiol / levonorgestrel, ethinyl estradiol / norethindrone, medroxyprogesterone"
bladder cancer,"mitomycin, cisplatin, atezolizumab, methotrexate, doxorubicin, thiotepa, cyclophosphamide, erdafitinib"
bladder infection,"ciprofloxacin, nitrofurantoin, cephalexin, amoxicillin, levofloxacin, trimethoprim, cefuroxime, methenamine, cefpodoxime, fosfomycin"
blastomycosis,"fluconazole, itraconazole, ketoconazole, voriconazole, amphotericin b, amphotericin b lipid complex"
bleeding disorder,"tranexamic acid, goserelin, dextran, high molecular weight"
blepharitis,"dexamethasone / neomycin / polymyxin b, bacitracin / polymyxin b, prednisolone / sulfacetamide sodium, bacitracin / neomycin / polymyxin b, hydrocortisone / neomycin / polymyxin b, gentamicin / prednisolone"
blepharoconjunctivitis,"polymyxin b / trimethoprim, bacitracin / polymyxin b, bacitracin / neomycin / polymyxin b"
blepharospasm,"incobotulinumtoxinA, onabotulinumtoxinA"
blood cell transplantation,cisplatin
blood disorders,hetastarch
body dysmorphic disorder,"escitalopram, fluoxetine, sertraline, citalopram, risperidone, paroxetine, olanzapine, ziprasidone, fluvoxamine"
body imaging,"iohexol, ioversol"
bone marrow transplantation,"fluconazole, filgrastim, busulfan, immune globulin intravenous, cisplatin, sargramostim"
"bone marrow transplantation, failure or engraftment delay",sargramostim
"bone marrow transplantation, myeloid reconstruction",sargramostim
bone infection (osteomyelitis),"cephalexin, clindamycin, vancomycin, ciprofloxacin, ceftriaxone, cefazolin, cefuroxime, metronidazole, piperacillin / tazobactam, dicloxacillin, cefotaxime, ceftazidime, gentamicin, ofloxacin"
borderline personality disorder,"quetiapine, lamotrigine, lithium, risperidone, fluoxetine, olanzapine, buspirone, clonazepam, sertraline, aripiprazole, topiramate, diazepam, lorazepam, escitalopram, divalproex sodium, alprazolam, clozapine, oxcarbazepine, citalopram, haloperidol, lurasidone, l-methylfolate, carbamazepine, asenapine, paliperidone"
botulism,"botulism immune globulin, botulism antitoxin, penicillin g potassium, penicillin g sodium"
botulism prophylaxis,botulism antitoxin
bowel preparation,"polyethylene glycol 3350, bisacodyl, polyethylene glycol 3350 with electrolytes, magnesium sulfate / potassium sulfate / sodium sulfate, erythromycin, citric acid / magnesium oxide / sodium picosulfate, neomycin"
bradyarrhythmia,atropine
brain tumor,"lomustine, everolimus, methotrexate, carmustine, cyclophosphamide, cisplatin"
breakthrough pain,fentanyl
breast cancer,"tamoxifen, anastrozole, letrozole, exemestane, cyclophosphamide, methotrexate, doxorubicin, paclitaxel, trastuzumab, capecitabine, everolimus"
"breast cancer, adjuvant","tamoxifen, letrozole, trastuzumab, epirubicin, paclitaxel, leuprolide, neratinib"
"breast cancer, bone metastases",pamidronate
"breast cancer, male","tamoxifen, palbociclib, alpelisib"
"breast cancer, metastatic","letrozole, anastrozole, tamoxifen, capecitabine, fulvestrant, palbociclib, docetaxel, eribulin, trastuzumab, paclitaxel"
"breast cancer, palliative","tamoxifen, megestrol, goserelin, estradiol, testosterone, conjugated estrogens, fluorouracil, methyltestosterone, fluoxymesterone, esterified estrogens, ethinyl estradiol"
"breast cancer, prevention","tamoxifen, raloxifene"
bronchiectasis,"albuterol, doxycycline, guaifenesin, amoxicillin, ipratropium, ciprofloxacin, amoxicillin / clavulanate"
bronchitis,"azithromycin, doxycycline, amoxicillin, guaifenesin, levofloxacin, clarithromycin, amoxicillin / clavulanate, cefdinir, ciprofloxacin, cefuroxime, sulfamethoxazole / trimethoprim, erythromycin"
bronchogenic carcinoma,"cimetidine, doxorubicin"
bronchopulmonary dysplasia,"fluticasone, prednisolone, dexamethasone"
bronchospasm during anesthesia,isoproterenol
bronchospasm prophylaxis,"albuterol, montelukast, formoterol, salmeterol"
brucellosis,"doxycycline, tetracycline, streptomycin, gentamicin, chloramphenicol, minocycline"
bruxism,onabotulinumtoxinA
bulimia,"fluoxetine, topiramate, venlafaxine"
bullous pemphigoid,"prednisone, doxycycline, dapsone, minocycline, mycophenolate mofetil, azathioprine, tetracycline, methotrexate, rituximab, prednisolone, erythromycin, infliximab, cyclophosphamide"
burning mouth syndrome (glossopyrosis),"clonazepam, gabapentin, lidocaine, amitriptyline, nortriptyline, capsaicin, chlordiazepoxide"
"burns, external","silver sulfadiazine, lidocaine, gentamicin, vancomycin, benzocaine"
"burns, nitrogen retention",somatropin
bursitis,"naproxen, prednisone, indomethacin, dexamethasone, cortisone, triamcinolone, betamethasone, trolamine salicylate, sulindac"
cmv gastroenteritis,foscarnet
cmv infection,ganciclovir
cmv prophylaxis,"valacyclovir, valganciclovir, ganciclovir, cytomegalovirus immune globulin, letermovir"
cmv retinitis,"valganciclovir, ganciclovir, foscarnet, cidofovir"
cns infection,cefotaxime
cns magnetic resonance imaging,"gadopentetate dimeglumine, gadobutrol, gadoteridol, gadodiamide, gadobenate dimeglumine, gadoterate meglumine"
copd,"prednisone, montelukast, budesonide / formoterol, fluticasone / vilanterol, aclidinium, levalbuterol, roflumilast, umeclidinium / vilanterol, olodaterol / tiotropium, dyphylline, fluticasone / umeclidinium / vilanterol, olodaterol, umeclidinium"
"copd, acute","albuterol, azithromycin, epinephrine, levalbuterol, ephedrine, isoproterenol"
"copd, maintenance","albuterol, albuterol / ipratropium, ipratropium, tiotropium, fluticasone / salmeterol, budesonide / formoterol, levalbuterol"
cachexia,"megestrol, somatropin"
calcium oxalate calculi with hyperuricosuria,allopurinol
campylobacter gastroenteritis,"erythromycin, ofloxacin, minocycline"
cancer,"carboplatin, fluorouracil, etoposide, doxorubicin, cyclophosphamide, vincristine, chlorambucil, ifosfamide, vinblastine, dactinomycin, topotecan, fludarabine, thiotepa"
candida urinary tract infection,"fluconazole, itraconazole, amphotericin b, flucytosine"
candidemia,"fluconazole, itraconazole, caspofungin, amphotericin b, micafungin, posaconazole, voriconazole, anidulafungin, flucytosine, amphotericin b lipid complex, amphotericin b liposomal"
capecitabine overdose,uridine
capillariasis,"mebendazole, albendazole"
carcinoid syndrome,lanreotide
carcinoid syndrome diarrhea,telotristat
carcinoid tumor,octreotide
cardiac arrest,epinephrine
cardiac arrhythmia,isoproterenol
cardiomyopathy prophylaxis,dexrazoxane
cardiothoracic surgery,allopurinol
cardiovascular risk reduction,"simvastatin, ramipril, telmisartan, empagliflozin, liraglutide, alirocumab, evolocumab, canagliflozin / metformin, rivaroxaban, canagliflozin, icosapent, semaglutide"
carnitine deficiency,levocarnitine
carpal tunnel syndrome,"gabapentin, triamcinolone"
cataplexy,"venlafaxine, sodium oxybate"
celiac disease,infliximab
cerebral arteriography,"iodixanol, ioversol, iohexol, iopromide"
cerebral edema,"dexamethasone, mannitol"
cerebral spasticity,"baclofen, trihexyphenidyl"
cerebral thrombosis/embolism,ticlopidine
cerebrovascular insufficiency,isoxsuprine
cervical cancer,"cisplatin, carboplatin, methotrexate, topotecan, bevacizumab, fluorouracil, ifosfamide, cyclophosphamide, hydroxyurea, pembrolizumab"
cervical dystonia (spasmodic torticollis),"baclofen, lorazepam, onabotulinumtoxinA, abobotulinumtoxinA, rimabotulinumtoxinB, incobotulinumtoxinA"
cervical ripening,misoprostol
cervicitis,"azithromycin, doxycycline, ofloxacin"
cesarean section,"cefotaxime, bupivacaine, ropivacaine, cefotetan, cefoxitin, piperacillin"
chancroid,"azithromycin, ciprofloxacin, erythromycin, ceftriaxone, doxycycline"
chemotherapy toxicity,amifostine
chiari malformation,acetaminophen
chlamydia infection,"azithromycin, doxycycline, amoxicillin, erythromycin, tetracycline, levofloxacin"
cholecystitis,"cefazolin, cefoxitin, cefotetan"
cholera,"ciprofloxacin, doxycycline, chloramphenicol, minocycline"
cholera prophylaxis,"cholera vaccine, live"
choriocarcinoma,"methotrexate, vinblastine"
chorioditis,"triamcinolone, corticotropin, cortisone"
chorioretinitis,"prednisone, dexamethasone, triamcinolone, cortisone, corticotropin"
chromomycosis,ketoconazole
chronic active hepatitis,azathioprine
chronic central venous catheterization,warfarin
chronic eosinophilic leukemia,imatinib
chronic fatigue syndrome,"modafinil, duloxetine, lisdexamfetamine, amantadine, armodafinil"
chronic granulomatous disease,interferon gamma-1b
chronic idiopathic constipation,"plecanatide, prucalopride"
chronic inflammatory demyelinating polyradiculoneuropathy,"azathioprine, immune globulin intravenous, immune globulin intravenous and subcutaneous, interferon beta-1b, immune globulin subcutaneous"
chronic lymphocytic leukemia,"ibrutinib, rituximab, cyclophosphamide, fludarabine, chlorambucil, bendamustine, idelalisib, immune globulin intravenous, venetoclax, obinutuzumab, alemtuzumab, ofatumumab"
chronic mucocutaneous candidiasis,"fluconazole, ketoconazole"
chronic myelogenous leukemia,"imatinib, hydroxyurea, nilotinib, dasatinib, anagrelide, cyclophosphamide, bosutinib, ponatinib, busulfan, cytarabine, fludarabine, omacetaxine, peginterferon alfa-2b"
chronic myofascial pain,"cyclobenzaprine, amitriptyline, clonazepam, ibuprofen, naproxen"
chronic otitis media,colistin sulfate / hydrocortisone / neomycin / thonzonium bromide
chronic pain,"oxycodone, tramadol, acetaminophen / oxycodone, hydromorphone, morphine, methadone, buprenorphine, duloxetine, fentanyl"
chronic pancreatitis,"pancrelipase, pancreatin"
chronic rhinosinusitis with nasal polyps,dupilumab
chronic spasticity,"baclofen, dantrolene, onabotulinumtoxinA"
clostridioides difficile infection,"vancomycin, metronidazole, fidaxomicin, penicillin g potassium, penicillin v potassium, penicillin g sodium"
closure of colostomy,fibrin sealant
cluster headaches,"tizanidine, sumatriptan, verapamil, indomethacin, prednisone, dihydroergotamine, caffeine / ergotamine, cyproheptadine, lithium, zolmitriptan"
cluster-tic syndrome,"clonazepam, gabapentin, carbamazepine, baclofen, valproic acid, phenytoin"
coccidioidomycosis,"fluconazole, itraconazole, ketoconazole, amphotericin b, amphotericin b lipid complex"
"coccidioidomycosis, meningitis","fluconazole, voriconazole, amphotericin b"
cogan's syndrome,"methotrexate, prednisone, cyclosporine, infliximab, azathioprine, etanercept, cyclophosphamide, mycophenolate mofetil"
cold sores (herpes simplex labialis),"valacyclovir, acyclovir, famciclovir, benzocaine, acyclovir / hydrocortisone, penciclovir, tetracaine, benzyl alcohol"
cold symptoms,"diphenhydramine, chlorpheniramine, acetaminophen / chlorpheniramine / phenylephrine, pseudoephedrine / triprolidine"
colorectal cancer,"oxaliplatin, fluorouracil, leucovorin, capecitabine, irinotecan, bevacizumab, cetuximab, methotrexate, panitumumab, regorafenib"
computed tomography,"barium sulfate, iodixanol"
condylomata acuminata,"imiquimod, podofilox, sinecatechins, interferon alfa-2b, interferon alfa-n3"
congenital fibrinogen deficiency,fibrinogen
congenital syphilis,"penicillin g benzathine, penicillin g potassium, procaine penicillin, penicillin g sodium"
conjunctival mucosa-associated lymphoid tissue lymphoma,interferon alfa-2b
conjunctivitis,"sulfacetamide sodium, dexamethasone, diclofenac, loteprednol, gatifloxacin, triamcinolone, ceftriaxone, lodoxamide, cortisone"
"conjunctivitis, allergic","ketotifen, azelastine, cromolyn, prednisone, prednisolone, epinastine, nedocromil, bepotastine, cetirizine, alcaftadine, carbinoxamine, doxylamine"
"conjunctivitis, bacterial","erythromycin, tobramycin, ciprofloxacin, gentamicin, polymyxin b / trimethoprim, ofloxacin, moxifloxacin, dexamethasone / tobramycin, azithromycin, bacitracin, dexamethasone / neomycin / polymyxin b"
constipation,"docusate, polyethylene glycol 3350, bisacodyl, magnesium oxide, magnesium citrate, psyllium, linaclotide, magnesium hydroxide"
"constipation, acute","lactulose, docusate / senna, polyethylene glycol 3350"
"constipation, chronic","lactulose, linaclotide, polyethylene glycol 3350 with electrolytes, colchicine, lubiprostone, methylnaltrexone, tegaserod, naloxegol"
"constipation, drug induced","lubiprostone, methylnaltrexone, naloxegol"
corneal cystine crystal accumulation,cysteamine
corneal refractive surgery,"ketorolac, riboflavin"
corneal ulcer,"ciprofloxacin, ofloxacin, prednisone, diclofenac, levofloxacin"
coronary arteriography,"iodixanol, iopromide, ioversol"
coronary artery disease,"lisinopril, amlodipine, perindopril, amlodipine / atorvastatin, isoxsuprine, rivaroxaban"
costochondritis,"ibuprofen, naproxen, lidocaine"
cough,"benzonatate, guaifenesin, codeine / guaifenesin, dextromethorphan, codeine / promethazine, diphenhydramine, homatropine / hydrocodone, dextromethorphan / guaifenesin, chlorpheniramine / hydrocodone, acetaminophen / hydrocodone, dextromethorphan / promethazine"
cough and nasal congestion,"brompheniramine / dextromethorphan / pseudoephedrine, guaifenesin / pseudoephedrine, dextromethorphan / guaifenesin / phenylephrine, guaifenesin / phenylephrine, chlorpheniramine / hydrocodone / pseudoephedrine, codeine / phenylephrine / promethazine"
crohn's disease,"azathioprine, mesalamine, budesonide, sulfasalazine, hyoscyamine, cholestyramine, infliximab, adalimumab, vedolizumab, rifaximin, certolizumab, cyclosporine, tacrolimus, ustekinumab, mycophenolate mofetil"
"crohn's disease, acute","mercaptopurine, metronidazole, azathioprine, budesonide, prednisone, sulfasalazine, adalimumab, infliximab, ciprofloxacin, prednisolone, dexamethasone, certolizumab, hydrocortisone, betamethasone"
"crohn's disease, maintenance","mercaptopurine, mesalamine, azathioprine, metronidazole, budesonide, sulfasalazine, infliximab, adalimumab, certolizumab, vedolizumab, natalizumab"
croup,dexamethasone
crow's feet,onabotulinumtoxinA
cryopyrin-associated periodic syndromes,"rilonacept, anakinra, canakinumab"
"cryptococcal meningitis, immunocompetent host","fluconazole, flucytosine, amphotericin b"
"cryptococcal meningitis, immunosuppressed host","fluconazole, amphotericin b, flucytosine, itraconazole, amphotericin b liposomal"
cryptococcosis,"fluconazole, amphotericin b, flucytosine, amphotericin b liposomal, itraconazole, amphotericin b lipid complex"
cryptosporidiosis,"nitazoxanide, paromomycin"
cushing's syndrome,"dexamethasone, cyproheptadine, mifepristone, corticorelin, pasireotide"
cutaneous bacillus anthracis,"doxycycline, ciprofloxacin, amoxicillin, penicillin g potassium, moxifloxacin, procaine penicillin"
cutaneous candidiasis,"nystatin, nystatin / triamcinolone, clotrimazole, ketoconazole, miconazole, terbinafine, ciclopirox, econazole"
cutaneous fungal infection,voriconazole
cutaneous larva migrans,"ivermectin, albendazole"
cutaneous mastocytosis,"ranitidine, famotidine, cimetidine"
cutaneous sporotrichosis,potassium iodide
cutaneous t-cell lymphoma,"romidepsin, clobetasol, vorinostat, bexarotene, methoxsalen, interferon gamma-1b"
cyanide poisoning,"hydroxocobalamin, sodium nitrite / sodium thiosulfate, amyl nitrite, sodium thiosulfate, sodium nitrite"
cyclic vomiting syndrome,"amitriptyline, nortriptyline, sumatriptan, zolmitriptan"
cyclitis,"loteprednol, dexamethasone, loteprednol / tobramycin"
cyclothymic disorder,"lamotrigine, divalproex sodium, oxcarbazepine, lithium, carbamazepine"
